crd,primary_business_name,website
125646,"C.W. O'CONNER WEALTH ADVISORS, INC.",https://cwoconner.com/
125689,"CAPITAL FINANCIAL ADVISORS OF NEW YORK, LLC",https://cfany.com/
125696,RELYEA ZUCKERBERG HANSON,https://rzhadvisors.com/
125738,ECONOLOGICS FINANCIAL,https://econologicsfinancialadvisors.com/
125799,WEALTH CARE LLC,https://wealthcarellc.com/
125838,HIGHLAND FINANCIAL,https://www.highlandplanning.com/
125882,STRATEGIC ADVISORS LLC,https://strategicadvisorsllc.com/
126021,"KELLEHER FINANCIAL ADVISORS, LLC",https://kelleherfinancial.com/
126241,TOWNSEND PERSONAL,https://www.townsendwm.com/
126266,"BRENT FORREST & ASSOCIATES, L.L.C.",https://brentforrest.com/
126472,SAGEBROADVIEW WEALTH,https://sagebroadview.com/
126570,SUMMIT FINANCIAL CONSULTING LLC,https://summitfc.com/
126742,"VERITY WEALTH ADVISORS, LLC",https://veritywealth.com/
126767,"BARON SILVER STEVENS FINANCIAL ADVISORS, LLC",https://bssfa.com/
126777,SAGEVIEW ADVISORY,https://sageviewadvisory.com/
126877,ALLGEN FINANCIAL ADV.,https://allgenfinancial.com/
126992,TEXAS YALE CAPITAL,https://www.yalecapitalcorp.com
127132,VALEO FINANCIAL ADVISORS,https://valeofinancial.com/
127134,FOUNDATION WEALTH,https://fwmria.com/
127140,"ROCKY MOUNTAIN PRIVATE WEALTH MANAGEMENT, L.L.C.",https://rmpwm.com/
127145,SOWELL FINANCIAL,https://sowellmanagement.com/
127186,"AVIDIAN WEALTH ENTERPRISES, LLC",https://avidianwealth.com/
127216,DURANTE & WATERS,https://www.iwmria.com/
127268,"HERITAGE FINANCIAL SERVICES, LLC",https://heritagefinancial.net/
127333,APRIO WEALTH MGMT,https://www.wealth.aprio.com/
127371,PORTLAND FINANCIAL ADVISORS INC,https://portlandfinancial.com/
127381,"PRESTIGE WEALTH MANAGEMENT GROUP, LLC",https://prestigewm.com/
127383,"CONFIDENCE WEALTH MANAGEMENT, LLC",https://confidencewealth.com/
127391,PEAK WEALTH SOLUTIONS,https://peakwealthsolutions.com/
127411,SEVEN SPRINGS WEALTH,https://sevenspringswealth.com/
127517,"WEALTH MANAGEMENT SOLUTIONS, LLC",https://wealthmanagementsolutions.com/
127526,"ZIMMERMAN WEALTH MANAGEMENT, LLC",https://zimmermanwealth.com/
127635,PLOTKIN FINANCIAL ADV.,https://pfallc.com/
127654,"MJP ASSOCIATES, INC.",https://mjpwealthadvisors.com/
127701,"GRADIENT SECURITIES, LLC",https://gradientsecurities.com/
